,model_name,Price,Available
0,Radeon RX 6700 XT MECH 2X 12G,$749.99,Sold Out
1,RX 6800 XT GAMING X TRIO 16G,"$1,349.99",Check Stores
2,9001G1332530000,$699.99,Sold Out
3,900-1G142-2520-000,$399.99,Sold Out
4,900-1G133-2518-000,"$1,199.99",Sold Out
